"c..Comparative.210Pb..137Cs..and.pollen.geochronologies.of.sediments.from.Lakes.Ontario.and.Erie...","c..Environmental.changes.during.the.past.2000.years.in.north.central.Wisconsin..Analysis.of.pollen..charcoal..and.seeds.from.varved.lake.sediments...","c..Climatic.Changes.During.the.Quaternary.Period....The.Late..and.Post.Glacial.Vegetational.History.of.the.Southwestern.Jura...","c..Quaternary.Sediments....THE.LATE..AND.POST.GLACIAL.HISTORY.OF.THE.GORDANO.VALLEY..NORTH.SOMERSET...","c..Ice.sheet.initiation.and.climatic.influences.of.expanded.snow.cover.in.Arctic.Canada...","c..Comparative.210Pb..137Cs..and.pollen.geochronologies.of.sediments.from.Lakes.Ontario.and.Erie....1","c..Environmental.changes.during.the.past.2000.years.in.north.central.Wisconsin..Analysis.of.pollen..charcoal..and.seeds.from.varved.lake.sediments....1","c..Climatic.Changes.During.the.Quaternary.Period....The.Late..and.Post.Glacial.Vegetational.History.of.the.Southwestern.Jura....1","c..Quaternary.Sediments....THE.LATE..AND.POST.GLACIAL.HISTORY.OF.THE.GORDANO.VALLEY..NORTH.SOMERSET....1"
"The Lagrange Equation","Lagrange-Funktion und Lagrange-Gleichungen zur Beschreibung der Partikeldiffusion in osmotischen Systemen","Lagrange multipliers and gravitational theory","Saddle Points of Hamiltonian Systems in Convex Lagrange Problems Having a Nonzero Discount Rate","On the classification of Lagrange immersions","The Lagrange Equation","Lagrange-Funktion und Lagrange-Gleichungen zur Beschreibung der Partikeldiffusion in osmotischen Systemen","Lagrange multipliers and gravitational theory","Saddle Points of Hamiltonian Systems in Convex Lagrange Problems Having a Nonzero Discount Rate"
"Emigration of British Doctors","Preaching Values in the Gospel of Matthew","Nigerian Trees","THE ELECTROCARDIOGRAM IN ASPHYXIAL AND IN EMBOLIC ACUTE COR PULMONALE","The Shelter-Centered Society","Emigration of British Doctors","Preaching Values in the Gospel of Matthew","Nigerian Trees","THE ELECTROCARDIOGRAM IN ASPHYXIAL AND IN EMBOLIC ACUTE COR PULMONALE"
"Some observations on the Milk River gas reservoir","The Mussels of the Flint and Paint Rock River Systems of the Southwest Slope of the Cumberland Plateau in North Alabama-1965 and 1967","Mussels of the Elk River Basin in Alabama and Tennessee-1965-1967","Contributions to the History and Protohistory of the Topnaar Strandloper Settlement at the Kuiseb River Mouth near Walvis Bay"," Agrarian History of England and Wales, Vol. I, Part II. Edited by H. P. R. F inberg ","Some observations on the Milk River gas reservoir","The Mussels of the Flint and Paint Rock River Systems of the Southwest Slope of the Cumberland Plateau in North Alabama-1965 and 1967","Mussels of the Elk River Basin in Alabama and Tennessee-1965-1967","Contributions to the History and Protohistory of the Topnaar Strandloper Settlement at the Kuiseb River Mouth near Walvis Bay"
"Excavation of a Moated House at Wintringham in Huntingdonshire","Birdcombe Court, Wraxall, Avon: A Fifteenth-Century House","The Foreign Policy Debate in the House of Commons in 1621","Nathaniel Lloyd, History of the English House. London: New York: The Architectural Press, 1975. ix+ 487 pp. Illus. Figs. $34.00. £13·95.Stephen Gardiner, Evolution of the House. London: Constable, 1974. 302 pp. 156 photographs and line drawings. £4·95.","Prelude to dimension theory: The geometrical investigations of Bernard Bolzano","Excavation of a Moated House at Wintringham in Huntingdonshire","Birdcombe Court, Wraxall, Avon: A Fifteenth-Century House","The Foreign Policy Debate in the House of Commons in 1621","Nathaniel Lloyd, History of the English House. London: New York: The Architectural Press, 1975. ix+ 487 pp. Illus. Figs. $34.00. £13·95.Stephen Gardiner, Evolution of the House. London: Constable, 1974. 302 pp. 156 photographs and line drawings. £4·95."
"Amerinds and the Environment: Myth, Reality, and the Upper Delaware Valley","The Upper Delaware Valley: Recent Past and Present Biophysical Conditions","The Upper Delaware Valley Early Man Project","Separating Myth From Reality","The Myth of the Given World, Knowledge, and Language","Amerinds and the Environment: Myth, Reality, and the Upper Delaware Valley","The Upper Delaware Valley: Recent Past and Present Biophysical Conditions","The Upper Delaware Valley Early Man Project","Separating Myth From Reality"
"OBITUARY","OBITUARY","OBITUARY","OBITUARY","OBITUARY","OBITUARY","OBITUARY","OBITUARY","OBITUARY"
"The Dress","WE CAN DRESS UP GENERAL MATHEMATICS","Sport fishing at Lake Chautauqua, near Havana, Illinois, in 1950 and 1951 / William C. Starrett , Perl L. McNeil, Jr.","Illinois Radiological Society","African Study Centre at Northwestern University, Illinois.","The Dress","WE CAN DRESS UP GENERAL MATHEMATICS","Sport fishing at Lake Chautauqua, near Havana, Illinois, in 1950 and 1951 / William C. Starrett , Perl L. McNeil, Jr.","Illinois Radiological Society"
"Dieback of a 30-year-old Douglas-fir plantation in the Brittain River Valley, British Columbia: Symptoms and diagnosis","The Tutu Archaeological Village Site","Les Invalides de l'Ile aux Moines (1739-1 789). Chronique d'une garnison côtière au XVIIIe siècle"," DESIGN FOR NEW JERSEY, IOWA, AND DES MOINES MODERNIZATION ","The Central Valley Region","Dieback of a 30-year-old Douglas-fir plantation in the Brittain River Valley, British Columbia: Symptoms and diagnosis","The Tutu Archaeological Village Site","Les Invalides de l'Ile aux Moines (1739-1 789). Chronique d'une garnison côtière au XVIIIe siècle"," DESIGN FOR NEW JERSEY, IOWA, AND DES MOINES MODERNIZATION "
"Geological Survey of Canada radiocarbon dates IX","Validity of Radiocarbon Dates on Terrestrial Snail Shells","Studies of glacial history in Arctic Canada. I. Pumice, radiocarbon dates, and differential postglacial uplift in the eastern Queen Elizabeth Islands","The Texas lineament and its economic significance in southeast Arizona","The Stone Tools from the Re-excavation of Nsongezi Rock Shelter, Uganda","Geological Survey of Canada radiocarbon dates IX","Validity of Radiocarbon Dates on Terrestrial Snail Shells","Studies of glacial history in Arctic Canada. I. Pumice, radiocarbon dates, and differential postglacial uplift in the eastern Queen Elizabeth Islands","The Texas lineament and its economic significance in southeast Arizona"
": Bonfire Shelter: A Stratified Bison Kill Site, Val Verde County, Texas. Part I: The Archeology. Part II: Analysis of the Bison Bones . David S. Dibble, Dessamae Lorrain.","Economics of the Delaware-Val Verde Basin Deep Gas Play","Pleistocene Freshwater Fishes from Ingleside Pit, San Patricio County, Texas","Stratigraphy and Structure of the Palangana Salt Dome, Duval County, Texas","Aristolochia marshii Found in Hidalgo County, Texas, New to United States",": Bonfire Shelter: A Stratified Bison Kill Site, Val Verde County, Texas. Part I: The Archeology. Part II: Analysis of the Bison Bones . David S. Dibble, Dessamae Lorrain.","Economics of the Delaware-Val Verde Basin Deep Gas Play","Pleistocene Freshwater Fishes from Ingleside Pit, San Patricio County, Texas","Stratigraphy and Structure of the Palangana Salt Dome, Duval County, Texas"
"Metastatic Carcinoma at the Site of Injections of Iron-dextran Complex","The Tutu Archaeological Village Site","Nesting site of Tree-Martins","Archeological fieldwork - Chucalissa site, Tennessee","Archeological fieldwork - Paragonah site, Utah","Metastatic Carcinoma at the Site of Injections of Iron-dextran Complex","The Tutu Archaeological Village Site","Nesting site of Tree-Martins","Archeological fieldwork - Chucalissa site, Tennessee"
"The Faunal Remains from Recent Excavations at uMgungundlovu","The Development of Medieval Hartlepool: Excavations at Church Close, 1984–85","Excavations at Aksum","Townland Survey of County Louth: Mell (Continued)","Joseph Dolan M.A.: First President Louth Archaeological Society","The Faunal Remains from Recent Excavations at uMgungundlovu","The Development of Medieval Hartlepool: Excavations at Church Close, 1984–85","Excavations at Aksum","Townland Survey of County Louth: Mell (Continued)"
"Site test excavations underwater The sequel to the magnetometer survey","Is the lemon test an index of arousal level?","Maritime culture contact of the Maya: underwater surveys and test excavations in Quintana Roo, Mexico","Cheating behavior, anticipated success-failure, confidence, and test importance.","INVERSION OF SOLAR EXTINCTION DATA FROM THE APOLLO-SOYUZ TEST PROJECT STRATOSPHERIC AEROSOL MEASUREMENT (ASTP/SAM) EXPERIMENT","Site test excavations underwater The sequel to the magnetometer survey","Is the lemon test an index of arousal level?","Maritime culture contact of the Maya: underwater surveys and test excavations in Quintana Roo, Mexico","Cheating behavior, anticipated success-failure, confidence, and test importance."
"A deeply stratified archaeological and sedimentary sequence in the Delaware river valley of the middle Atlantic region, United States","Field procedures developed for a scattered, deeply buried site in a high energy location: theWhydah(WLF-HA-l), Cape Cod, Massachusetts, USA","Classifying and Evaluating a Shelter Forest Site in a Coastal Area Using Remote Sensing Techniques","Registration of ‘Ozark’ Oat","Shelter Cove : final environmental impact statement /","A deeply stratified archaeological and sedimentary sequence in the Delaware river valley of the middle Atlantic region, United States","Field procedures developed for a scattered, deeply buried site in a high energy location: theWhydah(WLF-HA-l), Cape Cod, Massachusetts, USA","Classifying and Evaluating a Shelter Forest Site in a Coastal Area Using Remote Sensing Techniques","Registration of ‘Ozark’ Oat"
"CURRAN POINT, LARNE, COUNTY ANTRIM : the type site of the Irish Mesolithic. By Hallam L. Movius Jr. Proceedings of the Royal Irish Academy, vol. 56, section C, no. I. 195 pages, 20 text figures, 11 plates. 25s.","Welland County, Ontario","Heinrich Lehmann 80 Jahre alt","Ingonish Victoria county Nova Scotia","Wisconsin Co-ed Graduates","CURRAN POINT, LARNE, COUNTY ANTRIM : the type site of the Irish Mesolithic. By Hallam L. Movius Jr. Proceedings of the Royal Irish Academy, vol. 56, section C, no. I. 195 pages, 20 text figures, 11 plates. 25s.","Welland County, Ontario","Heinrich Lehmann 80 Jahre alt","Ingonish Victoria county Nova Scotia"
"Physiological Response to Relevant and Irrelevant Stimuli in a Simple Reaction Time Situation","Studies of Alternative Patterns of Administrative Organization","Alternative patterns in relationships between an academic medical center and an HMO","A compiler for simple boolean functions of binary patterns","A Simple Technique for Revealing Hair Scale Patterns","Physiological Response to Relevant and Irrelevant Stimuli in a Simple Reaction Time Situation","Studies of Alternative Patterns of Administrative Organization","Alternative patterns in relationships between an academic medical center and an HMO","A compiler for simple boolean functions of binary patterns"
"Meadowcroft Rockshelter, 1977: An Overview","Meadowcroft Rockshelter - Retrospect 1977: Part 1","Faunal remains from the El Abra rock shelters (Colombia)","A preliminary report on the faunal remains of Nahr el Homr, Hadidi and Ta'as in the Tabqa Dam region in Syria",": Third Report of the Normandy Reservoir Salvage Project: 1973 Testing Program, Lithic Resource Survey, Lithic Annealing Project, and Report on Plant and Faunal Remains from the Banks III Site . C. R. McCollough, Charles H. Faulkner.","Meadowcroft Rockshelter, 1977: An Overview","Meadowcroft Rockshelter - Retrospect 1977: Part 1","Faunal remains from the El Abra rock shelters (Colombia)","A preliminary report on the faunal remains of Nahr el Homr, Hadidi and Ta'as in the Tabqa Dam region in Syria"
"Wisconsin's Door County: Overnight Lodging Guests. Recreation Resources Center, University of Wisconsin-Extension, 602 State Street, Madison, Wisconsin 53703. November 1986. 60p plus appendix","Wisconsin Private Campground Base Rate Index. Recreation Resources Center, University of Wisconsin Extension, 602 State Street, Madison, Wisconsin 53703. June 1987. 10p","Wisconsin'sDoorCounty: Summer Guest Surveys. Recreation Resources Center, University of Wisconsin-Extension, 602 State Street, Madison, Wisconsin 53703. November 1986. 60p plus appendix","Summer Guest Surveys-Interviews. Recreation Resources Center, University of Wisconsin-Extension, 602 State Street, Madison, Wisconsin 53703. November 1986. 59p plus appendix","Overnight Lodging Guests-A Study. Recreation Resources Center, University of Wisconsin-Extension, 602 State Street, Madison, Wisconsin 53703. November 1986. 59p plus appendix","Wisconsin's Door County: Overnight Lodging Guests. Recreation Resources Center, University of Wisconsin-Extension, 602 State Street, Madison, Wisconsin 53703. November 1986. 60p plus appendix","Wisconsin Private Campground Base Rate Index. Recreation Resources Center, University of Wisconsin Extension, 602 State Street, Madison, Wisconsin 53703. June 1987. 10p","Wisconsin'sDoorCounty: Summer Guest Surveys. Recreation Resources Center, University of Wisconsin-Extension, 602 State Street, Madison, Wisconsin 53703. November 1986. 60p plus appendix","Summer Guest Surveys-Interviews. Recreation Resources Center, University of Wisconsin-Extension, 602 State Street, Madison, Wisconsin 53703. November 1986. 59p plus appendix"
"Site Occupation Determinations in Ni3Ai by Atom Probe","Site occupation determinations by APFIM for Hf, Fe, and Co in Ni3Al","Human occupation of the continental shelf during the late pleistocene/early Holocene: Methods for site location","Vibronic coupling model for a three-site single-electron system","Site Carpentry","Site Occupation Determinations in Ni3Ai by Atom Probe","Site occupation determinations by APFIM for Hf, Fe, and Co in Ni3Al","Human occupation of the continental shelf during the late pleistocene/early Holocene: Methods for site location","Vibronic coupling model for a three-site single-electron system"
"The breeding ecology of four species of herons at Lake Alice, Alachua county, Florida.","CASE HISTORY—DESERT SPRINGS GAS FIELD SWEETWATER COUNTY, WYOMING","Infra-red Investigation of the Migration of Lithium Ions into Empty Octahedral Sites in Muscovite and Montmorillonite","Obituary: RUTH DARBY, M.B.E., M.B., Ch.B","Medical Physiology and Biophysics","The breeding ecology of four species of herons at Lake Alice, Alachua county, Florida.","CASE HISTORY—DESERT SPRINGS GAS FIELD SWEETWATER COUNTY, WYOMING","Infra-red Investigation of the Migration of Lithium Ions into Empty Octahedral Sites in Muscovite and Montmorillonite","Obituary: RUTH DARBY, M.B.E., M.B., Ch.B"
"The Tutu Archaeological Village Site","The Iron Age Site at Gatung'ang'a, Central Kenya","Late Palaeolithic Finds from Denmark.","Photogrammetry and culture history","Wooden and Stone Chevaux-de-Frise in Central and Western Europe.","The Tutu Archaeological Village Site","The Iron Age Site at Gatung'ang'a, Central Kenya","Late Palaeolithic Finds from Denmark.","Photogrammetry and culture history"
"Animal Remains from Archeological Sites of Terminal Paleolithic to Old Kingdom Age in the Fayum","Fish Remains from Upper Paleolithic Sites Near Idfu and Isna","Pathology of Bedouin skeletal remains from two sites in Israel","THE PLEISTOCENE CONTEXT OF FAUNAL REMAINS AND ARTEFACTS DISCOVERED AT WELTON-LE-WOLD, LINCOLNSHIRE","Animal Remains from Localities Near Dishna","Animal Remains from Archeological Sites of Terminal Paleolithic to Old Kingdom Age in the Fayum","Fish Remains from Upper Paleolithic Sites Near Idfu and Isna","Pathology of Bedouin skeletal remains from two sites in Israel","THE PLEISTOCENE CONTEXT OF FAUNAL REMAINS AND ARTEFACTS DISCOVERED AT WELTON-LE-WOLD, LINCOLNSHIRE"
"Clockwise rotation of the western Mojave Desert","Spatial analysis of faunal remains from Kamennaya Balka II","Hydrothermal alteration associated with the Iron Hat iron skarn deposit, eastern Mojave Desert, San Bernardino County, California","Permian and Triassic rocks of the Mojave Desert and their implications for timing and mechanisms of continental truncation","Heterogeneity of Mojave toxin","Clockwise rotation of the western Mojave Desert","Spatial analysis of faunal remains from Kamennaya Balka II","Hydrothermal alteration associated with the Iron Hat iron skarn deposit, eastern Mojave Desert, San Bernardino County, California","Permian and Triassic rocks of the Mojave Desert and their implications for timing and mechanisms of continental truncation"
"A geoarchaeological reconstruction of cowpen slough, a late archaic site in east central louisiana","Middle Devonian environments of central and western New York State","Late Archaic Corn in the Eastern Great Basin","Archaic Middle American Agriculture and Settlement: Recent Pollen Data from Honduras","The Archaic Period in the south-central Andes","A geoarchaeological reconstruction of cowpen slough, a late archaic site in east central louisiana","Middle Devonian environments of central and western New York State","Late Archaic Corn in the Eastern Great Basin","Archaic Middle American Agriculture and Settlement: Recent Pollen Data from Honduras"
"Fall and Winter Food of Plethodon dorsalis in Johnson County, Indiana","Moorefield Woods: Old-growth beech in Switzerland County, Indiana","Accelerated Urban Growth in a Metropolitan Fringe Area: A Study of Urbanization, Suburbanization, the Impact of the U. S. Steel Plant in Lower Bucks County, Pennsylvania","Book Reviews: THE CRADLE OF THE PENITENTIARY The Walnut Street Jail at Philadelphia, 1773-1835, by Negley K. Teeters, Pennsylvania Prison Society, Philadelphia, 1955, xii, 152 pp., $3.75","F. STUART CHAPIN, JR., and others. In the Shadow of a Defense Plant : A Study of Urbanization in Rural South Carolina. Pp. xvi, 260. Chapel Hill: Institute for Research in Social Science, University of North Carolina, 1954. $2.50. THE INSTITUTE FOR URBAN STUDIES, Uni versity of Pennsylvania, with the co operation of the Bureau of Urban Re search, Princeton University. Acceler ated Urban Growth in a Metropolitan Fringe Area: A Study of Urbanization, Suburbanization and the Impact of the U. S. Steel Plant in Lower Bucks County, Pennsylvania. Vol. I, Summary Report, Vol. II, Project Report. Pp. ix, 63, xx; xxv, 262. Vol. I, $2.00; Vol. II, $4.00; Two vols., $5.00","Fall and Winter Food of Plethodon dorsalis in Johnson County, Indiana","Moorefield Woods: Old-growth beech in Switzerland County, Indiana","Accelerated Urban Growth in a Metropolitan Fringe Area: A Study of Urbanization, Suburbanization, the Impact of the U. S. Steel Plant in Lower Bucks County, Pennsylvania","Book Reviews: THE CRADLE OF THE PENITENTIARY The Walnut Street Jail at Philadelphia, 1773-1835, by Negley K. Teeters, Pennsylvania Prison Society, Philadelphia, 1955, xii, 152 pp., $3.75"
"Upper Ohio River Valley Woos Industry on Riverboat","A Late Stone Age Camping-Site in the Upper Zambezi Valley","Harvard Peabody Museum Film of the South African Bushmen—‘The Hunters’","On the Morphology of the Negatives in Archaic Chinese 1)","Studies in the Grammar of Early Archaic Chinese","Upper Ohio River Valley Woos Industry on Riverboat","A Late Stone Age Camping-Site in the Upper Zambezi Valley","Harvard Peabody Museum Film of the South African Bushmen—‘The Hunters’","On the Morphology of the Negatives in Archaic Chinese 1)"
": Folsom Tools and Technology at the Hanson Site, Wyoming . George C. Frison, Bruce A. Bradley. ; A Report on the Banting and Hussey Sites. Two Paleo-Indian Campsites in Simcoe County, Southern Ontario . P. L. Storck. ; Pleistocene Bone Technology in the Beringian Refugium . Robson Bonnichsen. ; Early Man in America from a Circum-Pacific Perspective . Alan Lyle Bryan.","Analysis of Lithic Artifacts","Artificial Stone Arrangements in the Acheulean Site of Mitzpeh Yiron, Israel.","Metal concentrations in oysters from the Southern African coast","Taxonomy, natural history and zoogeography of sand beach isopods from the coast of Southern Chile",": Folsom Tools and Technology at the Hanson Site, Wyoming . George C. Frison, Bruce A. Bradley. ; A Report on the Banting and Hussey Sites. Two Paleo-Indian Campsites in Simcoe County, Southern Ontario . P. L. Storck. ; Pleistocene Bone Technology in the Beringian Refugium . Robson Bonnichsen. ; Early Man in America from a Circum-Pacific Perspective . Alan Lyle Bryan.","Analysis of Lithic Artifacts","Artificial Stone Arrangements in the Acheulean Site of Mitzpeh Yiron, Israel.","Metal concentrations in oysters from the Southern African coast"
"Sunflower Bud Moth: Behavior and Impact of the Larva On Sunflower Seed Production In the Southern Plains","Late neogene planktonic foraminiferal biostratigraphy and paleoceanography of the northwest Pacific DSDP site 296","Wildebeestfontein: A Late Iron Age Site in the Southeast Transvaal","Clinical observations of early and late normal tissue injury and tumor control in patients receiving fast neutron irradiation","Covalent cross-linking of transfer ribonucleic acid to the ribosomal P site. Site of reaction in 16S ribonucleic acid","Sunflower Bud Moth: Behavior and Impact of the Larva On Sunflower Seed Production In the Southern Plains","Late neogene planktonic foraminiferal biostratigraphy and paleoceanography of the northwest Pacific DSDP site 296","Wildebeestfontein: A Late Iron Age Site in the Southeast Transvaal","Clinical observations of early and late normal tissue injury and tumor control in patients receiving fast neutron irradiation"
"Soils and landscape evolution of eolian plains: the Southern High Plains of Texas and New Mexico","Fallow Management Practices for Wheat Production in the Central Great Plains","Intensive Management Practices for Wheat in the Southeastern Coastal Plains","Grain, Dry Matter Yield Relationships for Winter Wheat and Grain Sorghum-Southern High Plains","Pollen deposition and vegetation in the southern Rocky Mountains and southwest Plains, USA","Soils and landscape evolution of eolian plains: the Southern High Plains of Texas and New Mexico","Fallow Management Practices for Wheat Production in the Central Great Plains","Intensive Management Practices for Wheat in the Southeastern Coastal Plains","Grain, Dry Matter Yield Relationships for Winter Wheat and Grain Sorghum-Southern High Plains"
"The Heerwald Site and Early Plains Village Adaptations in the Southern Plains","The Tutu Archaeological Village Site","Demographic characteristics of fenced and unfenced populations of Microtus ochrogaster in manipulated plots of short-grass prairie","Mango Pickles and Goat Grass: Family Fieldwork in an Indian Village","C 3 /C 4 Production Shift on Seasonal Burns: Northern Mixed Prairie","The Heerwald Site and Early Plains Village Adaptations in the Southern Plains","The Tutu Archaeological Village Site","Demographic characteristics of fenced and unfenced populations of Microtus ochrogaster in manipulated plots of short-grass prairie","Mango Pickles and Goat Grass: Family Fieldwork in an Indian Village"
"Tepe Tula'i, an early campsite in Khuzistan, Iran.","SALT TRADING IN EASTERN LAKE VICTORIA","Archaeological Investigations at Mirabib Hill Rock Shelter","Archaeological investigations in the Mahidasht, Western Iran, 1975","Stratigraphy and Structure of the Mount Ida Group, Vernon (82L), Seymour Arm (82M), Bonaparte Lake (92P) and Kettle River (82E) map-areas, British Columbia","Tepe Tula'i, an early campsite in Khuzistan, Iran.","SALT TRADING IN EASTERN LAKE VICTORIA","Archaeological Investigations at Mirabib Hill Rock Shelter","Archaeological investigations in the Mahidasht, Western Iran, 1975"
"The Palaeoenvironment of Some Archaeological Sites in Greece: The Influence of Accumulated Uplift in a Seismically Active Region.","A New Gerrhonotus (Lacertilia: Anguidae) from the Sierra Madre Oriental, Nuevo Leon, Mexico","Lacustrine-Humate Model for Primary Uranium Ore Deposits, Grants Uranium Region, New Mexico","Uranium mineralization in the Smith Lake District of the Grants uranium region, New Mexico","The palynology of archaeological sites. By Dimbleby G. W.. 176 pp. Academic Press Inc.(London), 1985. Price £34.50.","The Palaeoenvironment of Some Archaeological Sites in Greece: The Influence of Accumulated Uplift in a Seismically Active Region.","A New Gerrhonotus (Lacertilia: Anguidae) from the Sierra Madre Oriental, Nuevo Leon, Mexico","Lacustrine-Humate Model for Primary Uranium Ore Deposits, Grants Uranium Region, New Mexico","Uranium mineralization in the Smith Lake District of the Grants uranium region, New Mexico"
"Late Pleistocene and Holocene vertebrates and palaeoenvironments from Charlie Lake Cave, northeast British Columbia","The Paleoindian Component at Charlie Lake Cave (HbRf 39), British Columbia","Late Pleistocene and Holocene lake fluctuations in the Sevier Lake basin, Utah, USA","Fish evolution and the late Pleistocene and Holocene history of Clear Lake, California","Late Holocene fossil vertebrates from Burma Quarry, Antigua, Lesser Antilles","Late Pleistocene and Holocene vertebrates and palaeoenvironments from Charlie Lake Cave, northeast British Columbia","The Paleoindian Component at Charlie Lake Cave (HbRf 39), British Columbia","Late Pleistocene and Holocene lake fluctuations in the Sevier Lake basin, Utah, USA","Fish evolution and the late Pleistocene and Holocene history of Clear Lake, California"
"Faunal Remains from the Bushman Rock Shelter, Eastern Transvaal","Early Homo sapiens Remains from the Omo River Region of South-west Ethiopia: Faunal Remains from the Omo Valley","The Erasmus Smith School, Ardee","Perachora: the Remains outside the Two Sanctuaries","From the Publishers","Faunal Remains from the Bushman Rock Shelter, Eastern Transvaal","Early Homo sapiens Remains from the Omo River Region of South-west Ethiopia: Faunal Remains from the Omo Valley","The Erasmus Smith School, Ardee","Perachora: the Remains outside the Two Sanctuaries"
"Quantitative paleoecology of some Ordovician orthoconic nautiloids","Some Aspects of Paleoecology and Stratigraphy of Lower Mancos Shale (Upper Cretaceous) of Colorado and Utah, Based on Palynologic Analysis: ABSTRACT","Some observations on intrinsic cardiac rate regulation in several marine vertebrates","Histoenzymorphology of ?-D-glucuronidase in cortical granules in oocytes of some representative vertebrates","Some aspects of the general (G) course examinations in Mathematics: Part II","Quantitative paleoecology of some Ordovician orthoconic nautiloids","Some Aspects of Paleoecology and Stratigraphy of Lower Mancos Shale (Upper Cretaceous) of Colorado and Utah, Based on Palynologic Analysis: ABSTRACT","Some observations on intrinsic cardiac rate regulation in several marine vertebrates","Histoenzymorphology of ?-D-glucuronidase in cortical granules in oocytes of some representative vertebrates"
"Late-Wisconsin Readvance of Piedmont Glaciers in Southwest Newfoundland","Support for a stable late Wisconsin ice margin (14,000 to ~9000 B.P.): A test based on glacial rebound","The Sidney interstadial and late Wisconsin history in Indiana and Ohio","Relationships of Immature Dermacentor Variabilis (Say) (Acari: Ixodidae) with the White-Footed Mouse, Peromyscus Leucopus, in Southwestern Wisconsin","Notes on Local Movement and Reproduction of Vampire Bats in Colima, Mexico","Late-Wisconsin Readvance of Piedmont Glaciers in Southwest Newfoundland","Support for a stable late Wisconsin ice margin (14,000 to ~9000 B.P.): A test based on glacial rebound","The Sidney interstadial and late Wisconsin history in Indiana and Ohio","Relationships of Immature Dermacentor Variabilis (Say) (Acari: Ixodidae) with the White-Footed Mouse, Peromyscus Leucopus, in Southwestern Wisconsin"
"Whitney Canyon Sour Gas Well Completion Techniques","Relationships of Site Characteristics to Vegetation in Canyon Grasslands of West Central Idaho and Adjacent Areas","Characteristics, depositional environment, and tectonic interpretations of the Proterozoic Cardenas Lavas, eastern Grand Canyon, Arizona","The Reservoir","Reservoir Management at Dunlin","Whitney Canyon Sour Gas Well Completion Techniques","Relationships of Site Characteristics to Vegetation in Canyon Grasslands of West Central Idaho and Adjacent Areas","Characteristics, depositional environment, and tectonic interpretations of the Proterozoic Cardenas Lavas, eastern Grand Canyon, Arizona","The Reservoir"
"EFFECT OF POSTMORTEM MUSCLE CHANGES ON POULTRY MEAT LOAF PROPERTIES","Calculating Sugar Confectionery and Chocolate Recipes","Peroxidase as biochemical measure of fresh weight and sugar yield in sugar-beet","Cocoa Beans","Boiled Sweets","EFFECT OF POSTMORTEM MUSCLE CHANGES ON POULTRY MEAT LOAF PROPERTIES","Calculating Sugar Confectionery and Chocolate Recipes","Peroxidase as biochemical measure of fresh weight and sugar yield in sugar-beet","Cocoa Beans"
"A Comparison of Contexts of Red Ochre Use in Paleoindian and Upper Paleolithic Sites","Geoarchaeological and paleohydrological evidence for a clovis-age drought in North America and its bearing on extinction","The control of CO2 emissions and its economic impact: An AGE model for a german state","A survey of benthic invertebrates in the Suwannee River, Florida","Poor Oocyte Quality Rather Than Implantation Failure as a Cause of Age-Related Decline in Female Fertility","A Comparison of Contexts of Red Ochre Use in Paleoindian and Upper Paleolithic Sites","Geoarchaeological and paleohydrological evidence for a clovis-age drought in North America and its bearing on extinction","The control of CO2 emissions and its economic impact: An AGE model for a german state","A survey of benthic invertebrates in the Suwannee River, Florida"
"Human Burials from Horvat Galil : A Pre-Pottery Neolithic Site in the Upper Galilee, Israel","Early Paleo-Indian Foragers of Midcontinental North America","Khirbet ed-Dharih (Survey Site 49/WHS 524), un nouveau gisement néolithique avec céramique du sud-jordanien","The Use of a Landfill Site for Bunker C Collected from a Barge Aground at Matane, Québec: a Case Study","Offshore Drilling and Safety: the Role of Digital High Resolution Site Surveys","Human Burials from Horvat Galil : A Pre-Pottery Neolithic Site in the Upper Galilee, Israel","Early Paleo-Indian Foragers of Midcontinental North America","Khirbet ed-Dharih (Survey Site 49/WHS 524), un nouveau gisement néolithique avec céramique du sud-jordanien","The Use of a Landfill Site for Bunker C Collected from a Barge Aground at Matane, Québec: a Case Study"
"Bones of giant lacertids from a new site on El Hierro (Canary Islands)","Electron Spin Resonance Study of Bones from the Paleolithic Site at Zhoukoudian, China","Changing fashions in the Middle Stone Age: the stone artefact sequence from Klasies River main site, South Africa","Carbohydrate-Modified Phenol-Formaldehyde Resins Formulated at Neutral Conditions","Der erste sechsgliedrige Zinn(II)-<U+FFFD>bergangsmetallzyklus - [Mn(CO)4SnCl(DMF)]3","Bones of giant lacertids from a new site on El Hierro (Canary Islands)","Electron Spin Resonance Study of Bones from the Paleolithic Site at Zhoukoudian, China","Changing fashions in the Middle Stone Age: the stone artefact sequence from Klasies River main site, South Africa","Carbohydrate-Modified Phenol-Formaldehyde Resins Formulated at Neutral Conditions"
